46 A.TEMOUCHENT,11 470,"5,6
180 994","88,9
7 974","3,9
18350
93",14 616,"6097036
7,2
203 584","503
0,5"
47 GHARDAIA,12 404,"0,9
64 385","1 306 248
4,7","95,3",172,"0,0
1 370 805","3,1"
48 RELIZANE,14 494,"4,9
281 875
16","94,8
6 062","2,0
05",9 450,"20
3,2
297 387","0,7"
TOTAL ALGERIE,910 322,"2,1
8 563 669","19,5
32 752 530","74,5",2 652 454,"6,0
43 968 653",100
WILAYA,"Jachères
fauchées",Jachères paturées,"Jachères travaillées au
printemps","TOTAL
Jachères"
,ha,ha,(ha),ha
1 ADRAR,0,1 948,0,1 948
2 CHLEF,695,36 076,14 217,50 988
3 LAGHOUAT,,27 268,0,27 268
4 O.E.BOUAGHI,19 779,83 643,19 541,122 962
5 BATNA,14 398,168 266,10 731,193 394
6 BEJAIA,"11 550
10000440",28 165,1993,41 708
7 BISKRA,,32 235,40 295,72 530
8 BECHAR,,16 716,0,16 716
9 BLIDA,3 478,2 830,345,6 653
10 BOUIRA,426,48 399,11 156,59 981
11 TAMANRASSET,0,0,0,0
12 TEBESSA,5 000,89 432,7 104,101 536
13 TLEMCEN,0,12 867,65 005,77 872
14 TIARET,0,128 152,141 105,269 257
15 TIZI-OUZOU,13 579,7 078,672,21 328
16 ALGER,0,3 696,0,3 696
17 DJELFA,0,252 721,0,252 721
18 JIJEL,6 627,5 648,0,12 275
19 SETIF,12 883,39 470,42 849,95 202
20 SAIDA,0,111 361,38 410,149 771
21 SKIKDA,10 938,10 110,2 854,23 902
22 S.B.ABBES,0,46 151,88 620,134 772
23 ANNABA,2 798,7 172,1 121,11 090
24 GUELMA,17 356,20 106,18 121,55 583
25 CONSTANTINE,230,999,8 060,9 289
26 MEDEA,3 692,64 886,65 897,134 475
27 MOSTAGANEM,0,3 490,1 833,5 323
28 M'SILA,0,157 565,0,157 565
29 MASCARA,7 650,63 637,5 036,76 323
30 OUARGLA,0,25 521,0,25 521
31 ORAN,432,8 402,1 346,10 180
32 EL-BAYADH,0,51 750,0,51 750
33 ILLIZI,0,418,0,418
34 B.B.ARRERIDJ,17 843,0,51 978,69 821
35 BOUMERDES,2 853,1933,0,4 786
36 EL-TARF,9 380,11 409,0,20 789
37 TINDOUF,0,67,0,67
38 TISSEMSILT,9 450,0,25 106,34 556
39 EL-OUED,0,0,7 300,7 300
40 KHENCHELA,11 500,104 294,0,115 794
41 SOUK-AHRAS,12 727,18 892,26 536,58 155
42 TIPAZA,2 280,3426,0,5 706
43 MILA,11 715,32 586,43 245,87 546
44 AIN-DEFLA,2 654,16 924,10 680,30 258
45 NAAMA,0,15 877,0,15 877
46 A.TEMOUCHENT,0,0,14 677,14 677
47 GHARDAIA,402,37 268,0,37 670
48 RELIZANE,3 586,28 405,39 568,71 559
TOTAL ALGERIE,215 900,1 827 258,805 398,2 848 556
WILAYA,(sup. emblavée reconvertieha,"- Sup
)
%
i","ha
20",%,"18
ha","%
Ji",ha,%
1 ADRAR,18 583,"59,5",1 343,"4,3","138
1323","0,4",3 971,"12,7"
2 CHLEF,92 492,"68,6",30000,"0,0
3000",9422,"7,0
400",22 502,"16,7"
3 LAGHOUAT,32 577,"74,0",30000,"0,0",0,"0,0",11 410,"25,9"
4 O.E.BOUAGHI,214 770,"91,7",38,"0,0",832,"0,4
ÖNÖÖÖMÖ",14 884,"6,4"
5 BATNA,146 260,"76,8",,"0,0",106,"0,1",36 532,"19,2"
6 BEJAIA,6 854,"47,4",,"0,0",502,"3,5",3 544,"24,5"
7 BISKRA,29 455,"47,9",02000,"OOOOOOOOOOOO
0,0",0,"0,0",7 525,"12,2"
8 BECHAR,2 169,"35,9",,"0,0",0,"0,0",1 077,"17,8"
9 BLIDA,8 102,"51,9",,"0,0",0,"0,0",1 080,"6,9"
10 BOUIRA,69 696,"80,8",0,"0,0",1 288,"1,5",7 817,"9,1"
11 TAMANRASSET,745,"22,4",0,"0,0",0,"0,0",644,"19,4"
12 TEBESSA,130 000,"65,8",0,"0,0",100,"0,1",62 841,"31,8"
13 TLEMCEN,174 900,"73,4",0,"0,0",18 160,"7,6",22 220,"9,3"
14 TIARET,364 270,"89,8",0,"0,0",9 072,"2,2",32 348,"8,0"
15 TIZI-OUZOU,7 029,"26,7",0,"0,0",763,"2,9",12 599,"47,9"
16 ALGER,1 693,"14,5",0,"0,0",26,"0,2",1 822,"15,6"
17 DJELFA,78 905,"68,4",0,"0,0",0,"0,0",26 655,"23,1"
18 JIJEL,1486,"15,5",108,"1,1","88888
458","4,8",677,"7,0"
19 SETIF,198 170,"85,8",0,"0,0",1 200,"0,5",22 602,"9,8"
20 SAIDA,131 975,"87,6",,"0,0",580,"0,4",9 697,"6,4"
